thread_id,core_id,task_id,func_id,core_type,pmu_total_cycles,pmu_idc_aic_vec_busy_o,cube_instr_busy,scalar_instr_busy,mte1_instr_busy,mte2_instr_busy,mte3_instr_busy,icache_req,icache_miss,pmu_fix_instr_busy,event_type
0,0,0x0000000100000007,2,0,27641,0,23996,1196,9209,22535,0,279,17,335,2
0,0,0x0000000100000014,10,0,97481,0,34272,3522,55363,94916,0,1256,14,3350,2
0,0,0x0000000100000016,12,0,359801,0,117504,4814,170215,353371,0,2606,17,17202,2
0,0,0x0000000100000027,29,0,41699,0,20832,2247,18036,16759,0,689,34,19851,2
0,0,0x0000000100000027,29,0,40895,0,20832,1924,17892,17836,0,658,0,19728,2
0,0,0x0000000100000027,29,0,42810,0,20832,1899,17949,20002,0,627,0,19933,2
0,0,0x0000000200000078,33,0,37461,0,19232,2630,12131,29509,0,178,9,1391,2
0,0,0x000000020000005c,33,0,37063,0,19232,1786,11706,31673,0,177,0,884,2
0,0,0x000000020000002a,33,0,38594,0,19232,1822,12088,34034,0,170,0,917,2
0,0,0x00000002000000ff,35,0,38996,0,17808,1154,8556,30642,0,150,8,7758,2
0,0,0x00000002000000dc,35,0,36075,0,17808,1723,8859,26005,0,141,0,5958,2
0,0,0x0000000200000126,35,0,36398,0,17808,2496,8757,27395,0,141,0,5748,2
0,0,0x0000000200000111,35,0,41041,0,17808,1021,8432,34272,0,141,0,5740,2
0,28,0x0000000100000006,1,1,10834,1852,0,1533,0,0,6523,151,9,0,2
0,28,0x0000000100000009,3,1,2911,605,0,840,0,715,797,78,10,0,2
0,28,0x000000010000000b,5,1,5020,2663,0,1414,0,2989,1384,289,18,0,2
0,28,0x000000010000000b,5,1,5031,2641,0,1146,0,3566,1395,262,0,0,2
0,28,0x000000010000000b,5,1,4524,2591,0,1140,0,2727,1384,217,0,0,2
0,28,0x000000010000000c,6,1,36030,28114,0,5747,0,25269,18971,1986,17,0,2
0,28,0x000000010000001f,21,1,3458,54,0,947,0,1563,860,57,8,0,2
0,28,0x000000010000001f,21,1,2863,54,0,714,0,1294,873,52,0,0,2
0,28,0x0000000100000021,23,1,79841,10186,0,59323,0,6428,2425,9806,62,0,2
0,28,0x0000000100000025,27,1,26472,4400,0,15676,0,0,8604,3304,13,0,2
0,28,0x0000000100000027,30,1,39803,19544,0,2916,0,968,9985,1026,18,0,2
0,28,0x0000000100000027,30,1,39001,19504,0,2361,0,1810,8172,874,0,0,2
0,28,0x0000000100000027,30,1,41001,19526,0,2619,0,1876,8869,772,0,0,2
0,28,0x0000000100000028,31,1,102832,20583,0,5231,0,41649,47786,2115,20,0,2
0,28,0x0000000100000028,31,1,85102,20506,0,5437,0,23624,47416,2019,0,0,2
0,28,0x0000000100000029,32,1,632175,19583,0,624195,0,5432,3452,105255,33,0,2
0,28,0x00000002000000bd,34,1,22795,8333,0,3268,0,7712,3547,841,21,0,2
0,28,0x00000002000000b4,34,1,21500,8196,0,2240,0,8845,3420,658,0,0,2
0,28,0x00000002000000b0,34,1,19726,8196,0,2422,0,7202,3101,610,0,0,2
0,28,0x000000010000002a,36,1,65782,20579,0,1703,0,44053,803,470,10,0,2
0,28,0x0000000200000130,37,1,19222,7780,0,2752,0,14008,2577,230,15,0,2
0,29,0x000000010000000e,7,1,16994,0,0,3290,0,8092,4346,166,22,0,2
0,29,0x0000000100000009,3,1,3375,726,0,1270,0,685,758,78,10,0,2
0,29,0x000000010000000b,5,1,4734,2602,0,1257,0,2867,1362,289,18,0,2
0,29,0x000000010000000b,5,1,5058,2655,0,1107,0,3432,1396,269,0,0,2
0,29,0x000000010000000b,5,1,4507,2644,0,1138,0,2780,1366,228,0,0,2
0,29,0x000000010000000c,6,1,35997,27835,0,5727,0,25185,19065,1999,17,0,2
0,29,0x000000010000001f,21,1,3197,54,0,955,0,1293,862,57,8,0,2
0,29,0x000000010000001f,21,1,2655,54,0,700,0,1280,712,52,0,0,2
0,29,0x0000000100000025,27,1,25474,4345,0,14682,0,0,8430,3292,13,0,2
0,29,0x0000000100000028,31,1,103098,20526,0,5312,0,41972,47559,2104,20,0,2
0,29,0x0000000100000028,31,1,85613,20529,0,6118,0,24248,47039,2009,0,0,2
0,29,0x0000000100000029,32,1,632228,19606,0,624234,0,3959,3747,105254,32,0,2
0,29,0x00000002000000ad,34,1,22479,8325,0,3420,0,7287,4141,840,21,0,2
0,29,0x00000002000000a4,34,1,21282,8196,0,2546,0,8677,3444,658,0,0,2
0,29,0x00000002000000a0,34,1,20686,8196,0,2424,0,7987,3274,610,0,0,2
0,29,0x000000010000002a,36,1,69731,20579,0,1771,0,47920,839,484,10,0,2
0,29,0x0000000200000130,37,1,18909,7794,0,2573,0,13678,2724,230,15,0,2
0,4,0x0000000100000007,2,0,27740,0,23996,1208,9499,22603,0,273,18,472,2
0,4,0x0000000100000014,10,0,97583,0,34272,3301,55285,95060,0,1250,14,5303,2
0,4,0x0000000100000016,12,0,351725,0,117504,4486,170598,345964,0,2608,17,17126,2
0,4,0x0000000100000027,29,0,42574,0,20832,2186,17998,17187,0,682,35,19634,2
0,4,0x0000000100000027,29,0,40748,0,20832,1897,17885,18080,0,650,0,19894,2
0,4,0x0000000100000027,29,0,41630,0,20832,1960,17814,19068,0,621,0,19433,2
0,4,0x0000000100000027,29,0,42666,0,20832,1679,18001,20706,0,611,0,19537,2
0,4,0x0000000200000075,33,0,36926,0,19232,3311,12207,28770,0,178,9,1491,2
0,4,0x000000020000005b,33,0,36339,0,19232,1297,11850,31748,0,177,0,893,2
0,4,0x0000000200000029,33,0,39133,0,19232,1579,12159,34140,0,177,0,922,2
0,4,0x000000020000000e,33,0,37873,0,19232,1901,11823,32569,0,170,0,916,2
0,4,0x00000002000000cd,35,0,37243,0,17808,1426,8442,26879,0,150,8,7766,2
0,4,0x00000002000000c9,35,0,34887,0,17808,1566,8722,26351,0,141,0,5854,2
0,4,0x00000002000000d3,35,0,39642,0,17808,1192,8531,32883,0,141,0,5977,2
0,36,0x000000010000000e,7,1,17367,0,0,3193,0,8697,4332,185,23,0,2
0,36,0x0000000100000009,3,1,2743,767,0,869,0,695,529,78,10,0,2
0,36,0x000000010000000b,5,1,4769,2586,0,1296,0,2855,1361,286,18,0,2
0,36,0x000000010000000b,5,1,4542,2597,0,1038,0,2863,1377,259,0,0,2
0,36,0x000000010000000b,5,1,4511,2584,0,1177,0,2726,1364,217,0,0,2
0,36,0x000000010000000c,6,1,36105,28165,0,5713,0,24550,19174,1994,17,0,2
0,36,0x000000010000001f,21,1,3432,54,0,1030,0,1530,788,59,8,0,2
0,36,0x000000010000001f,21,1,2867,54,0,777,0,1233,912,52,0,0,2
0,36,0x0000000100000025,27,1,74101,11875,0,18510,0,42720,6737,3311,14,0,2
0,36,0x0000000100000027,30,1,40239,19558,0,2761,0,664,10400,1005,18,0,2
0,36,0x0000000100000027,30,1,39122,19492,0,2610,0,2228,8430,881,0,0,2
0,36,0x0000000100000027,30,1,39398,19470,0,2315,0,1918,6951,769,0,0,2
0,36,0x0000000100000027,30,1,41188,19514,0,2755,0,2459,9616,759,0,0,2
0,36,0x0000000100000028,31,1,103589,20546,0,5543,0,42587,47472,2146,20,0,2
0,36,0x0000000100000028,31,1,86716,20500,0,5759,0,24884,47432,2010,0,0,2
0,36,0x0000000100000029,32,1,632297,19555,0,624310,0,5656,3451,105259,32,0,2
0,36,0x000000020000009d,34,1,22532,8305,0,3731,0,7306,4035,836,23,0,2
0,36,0x0000000200000094,34,1,21158,8196,0,2288,0,8527,3249,664,0,0,2
0,36,0x0000000200000090,34,1,21850,8196,0,2698,0,8631,3520,610,0,0,2
0,36,0x000000010000002a,36,1,61135,20579,0,1721,0,39334,802,456,10,0,2
0,36,0x0000000200000130,37,1,18917,7801,0,2708,0,13681,2891,223,15,0,2
0,37,0x000000010000000e,7,1,17213,0,0,3217,0,8092,4775,180,22,0,2
0,37,0x0000000100000009,3,1,2817,695,0,875,0,630,654,78,10,0,2
0,37,0x000000010000000b,5,1,4771,2647,0,1263,0,2872,1376,271,18,0,2
0,37,0x000000010000000b,5,1,5287,2605,0,1015,0,3099,1394,242,0,0,2
0,37,0x000000010000000b,5,1,4544,2630,0,1151,0,2810,1359,226,0,0,2
0,37,0x000000010000000c,6,1,35818,27741,0,5780,0,26153,19199,2006,17,0,2
0,37,0x000000010000001f,21,1,3409,54,0,1005,0,1494,822,57,8,0,2
0,37,0x000000010000001f,21,1,2731,54,0,781,0,1269,724,51,0,0,2
0,37,0x000000010000001f,21,1,3158,54,0,1174,0,1308,732,51,0,0,2
0,37,0x0000000100000025,27,1,26842,4423,0,19472,0,0,6928,3318,15,0,2
0,37,0x0000000100000028,31,1,102571,20514,0,5503,0,40496,47478,2097,20,0,2
0,37,0x0000000100000028,31,1,91090,20497,0,5431,0,28822,46862,2009,0,0,2
0,37,0x0000000100000029,32,1,632615,19575,0,624570,0,4433,3686,105249,32,0,2
0,37,0x00000002000000bc,34,1,20581,8305,0,2390,0,7075,3316,779,21,0,2
0,37,0x0000000200000084,34,1,21466,8196,0,2658,0,8341,3432,658,0,0,2
