kernel,module,pto_path,model_py,ptr_arg_count,spec_count,ptr_dtypes,spec_dtypes,dtype_multiset_match,is_leaf,is_leaf_strict,notes
comb_sinkhorn,attention_csa,build_output/_jit_attention_csa_test_20260810_193610/ptoas/comb_sinkhorn.pto,models/deepseek_v4_pro/decode_attention_csa.py,4,49,"f32,f32,f32,f32","float32,float32,float32,float32,bfloat16,bfloat16,int8,float32,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,float32,bfloat16,float32,int32,int8,float32,bfloat16,bfloat16,bfloat16,bfloat16,float32,bfloat16,float32,int32,bfloat16,bfloat16,int32,int8,float32,int32,int64,int32,int32,int64,int64,int64,int64,int32,int32,float32,bfloat16,int8,float32,float32",False,False,False,
csa_cache_writeback,attention_csa,build_output/_jit_attention_csa_test_20260810_193610/ptoas/csa_cache_writeback.pto,models/deepseek_v4_pro/decode_attention_csa.py,3,49,"bf16,i64,bf16","float32,float32,float32,float32,bfloat16,bfloat16,int8,float32,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,float32,bfloat16,float32,int32,int8,float32,bfloat16,bfloat16,bfloat16,bfloat16,float32,bfloat16,float32,int32,bfloat16,bfloat16,int32,int8,float32,int32,int64,int32,int32,int64,int64,int64,int64,int32,int32,float32,bfloat16,int8,float32,float32",False,False,False,
csa_cmp_rope,attention_csa,build_output/_jit_attention_csa_test_20260810_193610/ptoas/csa_cmp_rope.pto,models/deepseek_v4_pro/decode_attention_csa.py,4,49,"f32,f32,bf16,bf16","float32,float32,float32,float32,bfloat16,bfloat16,int8,float32,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,float32,bfloat16,float32,int32,int8,float32,bfloat16,bfloat16,bfloat16,bfloat16,float32,bfloat16,float32,int32,bfloat16,bfloat16,int32,int8,float32,int32,int64,int32,int32,int64,int64,int64,int64,int32,int32,float32,bfloat16,int8,float32,float32",False,False,False,
csa_rope_step,attention_csa,build_output/_jit_attention_csa_test_20260810_193610/ptoas/csa_rope_step.pto,models/deepseek_v4_pro/decode_attention_csa.py,6,49,"bf16,bf16,f32,f32,bf16,bf16","float32,float32,float32,float32,bfloat16,bfloat16,int8,float32,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,float32,bfloat16,float32,int32,int8,float32,bfloat16,bfloat16,bfloat16,bfloat16,float32,bfloat16,float32,int32,bfloat16,bfloat16,int32,int8,float32,int32,int64,int32,int32,int64,int64,int64,int64,int32,int32,float32,bfloat16,int8,float32,float32",False,False,False,
csa_slots_build_valid_qk_plan,attention_csa,build_output/_jit_attention_csa_test_20260810_193610/ptoas/csa_slots_build_valid_qk_plan.pto,models/deepseek_v4_pro/decode_attention_csa.py,1,49,f32,"float32,float32,float32,float32,bfloat16,bfloat16,int8,float32,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,float32,bfloat16,float32,int32,int8,float32,bfloat16,bfloat16,bfloat16,bfloat16,float32,bfloat16,float32,int32,bfloat16,bfloat16,int32,int8,float32,int32,int64,int32,int32,int64,int64,int64,int64,int32,int32,float32,bfloat16,int8,float32,float32",False,False,False,
hc_post,attention_csa,build_output/_jit_attention_csa_test_20260810_193610/ptoas/hc_post.pto,models/deepseek_v4_pro/decode_attention_csa.py,5,49,"f32,f32,bf16,f32,f32","float32,float32,float32,float32,bfloat16,bfloat16,int8,float32,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,float32,bfloat16,float32,int32,int8,float32,bfloat16,bfloat16,bfloat16,bfloat16,float32,bfloat16,float32,int32,bfloat16,bfloat16,int32,int8,float32,int32,int64,int32,int32,int64,int64,int64,int64,int32,int32,float32,bfloat16,int8,float32,float32",False,False,False,
hc_pre_rms,attention_csa,build_output/_jit_attention_csa_test_20260810_193610/ptoas/hc_pre_rms.pto,models/deepseek_v4_pro/decode_attention_csa.py,2,49,"f32,f32","float32,float32,float32,float32,bfloat16,bfloat16,int8,float32,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,float32,bfloat16,float32,int32,int8,float32,bfloat16,bfloat16,bfloat16,bfloat16,float32,bfloat16,float32,int32,bfloat16,bfloat16,int32,int8,float32,int32,int64,int32,int32,int64,int64,int64,int64,int32,int32,float32,bfloat16,int8,float32,float32",False,False,False,
hc_pre_seed,attention_csa,build_output/_jit_attention_csa_test_20260810_193610/ptoas/hc_pre_seed.pto,models/deepseek_v4_pro/decode_attention_csa.py,1,49,f32,"float32,float32,float32,float32,bfloat16,bfloat16,int8,float32,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,float32,bfloat16,float32,int32,int8,float32,bfloat16,bfloat16,bfloat16,bfloat16,float32,bfloat16,float32,int32,bfloat16,bfloat16,int32,int8,float32,int32,int64,int32,int32,int64,int64,int64,int64,int32,int32,float32,bfloat16,int8,float32,float32",False,False,False,
idx_qr_proj_dequant,attention_csa,build_output/_jit_attention_csa_test_20260810_193610/ptoas/idx_qr_proj_dequant.pto,models/deepseek_v4_pro/decode_attention_csa.py,3,49,"f32,f32,f32","float32,float32,float32,float32,bfloat16,bfloat16,int8,float32,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,float32,bfloat16,float32,int32,int8,float32,bfloat16,bfloat16,bfloat16,bfloat16,float32,bfloat16,float32,int32,bfloat16,bfloat16,int32,int8,float32,int32,int64,int32,int32,int64,int64,int64,int64,int32,int32,float32,bfloat16,int8,float32,float32",False,False,False,
kv_and_cache_write,attention_csa,build_output/_jit_attention_csa_test_20260810_193610/ptoas/kv_and_cache_write.pto,models/deepseek_v4_pro/decode_attention_csa.py,5,49,"f32,i8,f32,i64,f32","float32,float32,float32,float32,bfloat16,bfloat16,int8,float32,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,float32,bfloat16,float32,int32,int8,float32,bfloat16,bfloat16,bfloat16,bfloat16,float32,bfloat16,float32,int32,bfloat16,bfloat16,int32,int8,float32,int32,int64,int32,int32,int64,int64,int64,int64,int32,int32,float32,bfloat16,int8,float32,float32",False,False,False,
kv_proj_seed,attention_csa,build_output/_jit_attention_csa_test_20260810_193610/ptoas/kv_proj_seed.pto,models/deepseek_v4_pro/decode_attention_csa.py,1,49,f32,"float32,float32,float32,float32,bfloat16,bfloat16,int8,float32,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,float32,bfloat16,float32,int32,int8,float32,bfloat16,bfloat16,bfloat16,bfloat16,float32,bfloat16,float32,int32,bfloat16,bfloat16,int32,int8,float32,int32,int64,int32,int32,int64,int64,int64,int64,int32,int32,float32,bfloat16,int8,float32,float32",False,False,False,
kv_rms_norm_rope,attention_csa,build_output/_jit_attention_csa_test_20260810_193610/ptoas/kv_rms_norm_rope.pto,models/deepseek_v4_pro/decode_attention_csa.py,5,49,"f32,bf16,bf16,bf16,bf16","float32,float32,float32,float32,bfloat16,bfloat16,int8,float32,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,float32,bfloat16,float32,int32,int8,float32,bfloat16,bfloat16,bfloat16,bfloat16,float32,bfloat16,float32,int32,bfloat16,bfloat16,int32,int8,float32,int32,int64,int32,int32,int64,int64,int64,int64,int32,int32,float32,bfloat16,int8,float32,float32",False,False,False,
kv_touch,attention_csa,build_output/_jit_attention_csa_test_20260810_193610/ptoas/kv_touch.pto,models/deepseek_v4_pro/decode_attention_csa.py,1,49,bf16,"float32,float32,float32,float32,bfloat16,bfloat16,int8,float32,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,float32,bfloat16,float32,int32,int8,float32,bfloat16,bfloat16,bfloat16,bfloat16,float32,bfloat16,float32,int32,bfloat16,bfloat16,int32,int8,float32,int32,int64,int32,int32,int64,int64,int64,int64,int32,int32,float32,bfloat16,int8,float32,float32",False,False,False,
merge_norm,attention_csa,build_output/_jit_attention_csa_test_20260810_193610/ptoas/merge_norm.pto,models/deepseek_v4_pro/decode_attention_csa.py,7,49,"f32,f32,f32,f32,f32,f32,bf16","float32,float32,float32,float32,bfloat16,bfloat16,int8,float32,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,float32,bfloat16,float32,int32,int8,float32,bfloat16,bfloat16,bfloat16,bfloat16,float32,bfloat16,float32,int32,bfloat16,bfloat16,int32,int8,float32,int32,int64,int32,int32,int64,int64,int64,int64,int32,int32,float32,bfloat16,int8,float32,float32",False,False,False,
mix_x,attention_csa,build_output/_jit_attention_csa_test_20260810_193610/ptoas/mix_x.pto,models/deepseek_v4_pro/decode_attention_csa.py,3,49,"f32,bf16,f32","float32,float32,float32,float32,bfloat16,bfloat16,int8,float32,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,float32,bfloat16,float32,int32,int8,float32,bfloat16,bfloat16,bfloat16,bfloat16,float32,bfloat16,float32,int32,bfloat16,bfloat16,int32,int8,float32,int32,int64,int32,int32,int64,int64,int64,int64,int32,int32,float32,bfloat16,int8,float32,float32",False,False,False,
proj_b_act,attention_csa,build_output/_jit_attention_csa_test_20260810_193610/ptoas/proj_b_act.pto,models/deepseek_v4_pro/decode_attention_csa.py,3,49,"f32,f32,bf16","float32,float32,float32,float32,bfloat16,bfloat16,int8,float32,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,float32,bfloat16,float32,int32,int8,float32,bfloat16,bfloat16,bfloat16,bfloat16,float32,bfloat16,float32,int32,bfloat16,bfloat16,int32,int8,float32,int32,int64,int32,int32,int64,int64,int64,int64,int32,int32,float32,bfloat16,int8,float32,float32",False,False,False,
q_rope_prepare,attention_csa,build_output/_jit_attention_csa_test_20260810_193610/ptoas/q_rope_prepare.pto,models/deepseek_v4_pro/decode_attention_csa.py,4,49,"bf16,bf16,f32,f32","float32,float32,float32,float32,bfloat16,bfloat16,int8,float32,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,float32,bfloat16,float32,int32,int8,float32,bfloat16,bfloat16,bfloat16,bfloat16,float32,bfloat16,float32,int32,bfloat16,bfloat16,int32,int8,float32,int32,int64,int32,int32,int64,int64,int64,int64,int32,int32,float32,bfloat16,int8,float32,float32",False,False,False,
qk_pv,attention_csa,build_output/_jit_attention_csa_test_20260810_193610/ptoas/qk_pv.pto,models/deepseek_v4_pro/decode_attention_csa.py,7,49,"f32,f32,f32,f32,bf16,bf16,bf16","float32,float32,float32,float32,bfloat16,bfloat16,int8,float32,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,float32,bfloat16,float32,int32,int8,float32,bfloat16,bfloat16,bfloat16,bfloat16,float32,bfloat16,float32,int32,bfloat16,bfloat16,int32,int8,float32,int32,int64,int32,int32,int64,int64,int64,int64,int32,int32,float32,bfloat16,int8,float32,float32",False,False,False,
qproj_dequant_rms_nope_rope,attention_csa,build_output/_jit_attention_csa_test_20260810_193610/ptoas/qproj_dequant_rms_nope_rope.pto,models/deepseek_v4_pro/decode_attention_csa.py,5,49,"bf16,f32,f32,f32,f32","float32,float32,float32,float32,bfloat16,bfloat16,int8,float32,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,float32,bfloat16,float32,int32,int8,float32,bfloat16,bfloat16,bfloat16,bfloat16,float32,bfloat16,float32,int32,bfloat16,bfloat16,int32,int8,float32,int32,int64,int32,int32,int64,int64,int64,int64,int32,int32,float32,bfloat16,int8,float32,float32",False,False,False,
qr_hadamard_quant,attention_csa,build_output/_jit_attention_csa_test_20260810_193610/ptoas/qr_hadamard_quant.pto,models/deepseek_v4_pro/decode_attention_csa.py,3,49,"f32,f32,i8","float32,float32,float32,float32,bfloat16,bfloat16,int8,float32,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,float32,bfloat16,float32,int32,int8,float32,bfloat16,bfloat16,bfloat16,bfloat16,float32,bfloat16,float32,int32,bfloat16,bfloat16,int32,int8,float32,int32,int64,int32,int32,int64,int64,int64,int64,int32,int32,float32,bfloat16,int8,float32,float32",False,False,False,
qr_proj_seed,attention_csa,build_output/_jit_attention_csa_test_20260810_193610/ptoas/qr_proj_seed.pto,models/deepseek_v4_pro/decode_attention_csa.py,1,49,f32,"float32,float32,float32,float32,bfloat16,bfloat16,int8,float32,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,float32,bfloat16,float32,int32,int8,float32,bfloat16,bfloat16,bfloat16,bfloat16,float32,bfloat16,float32,int32,bfloat16,bfloat16,int32,int8,float32,int32,int64,int32,int32,int64,int64,int64,int64,int32,int32,float32,bfloat16,int8,float32,float32",False,False,False,
qr_rms_norm_quant,attention_csa,build_output/_jit_attention_csa_test_20260810_193610/ptoas/qr_rms_norm_quant.pto,models/deepseek_v4_pro/decode_attention_csa.py,5,49,"f32,bf16,f32,i8,i8","float32,float32,float32,float32,bfloat16,bfloat16,int8,float32,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,float32,bfloat16,float32,int32,int8,float32,bfloat16,bfloat16,bfloat16,bfloat16,float32,bfloat16,float32,int32,bfloat16,bfloat16,int32,int8,float32,int32,int64,int32,int32,int64,int64,int64,int64,int32,int32,float32,bfloat16,int8,float32,float32",False,False,False,
qr_rope,attention_csa,build_output/_jit_attention_csa_test_20260810_193610/ptoas/qr_rope.pto,models/deepseek_v4_pro/decode_attention_csa.py,4,49,"f32,f32,f32,bf16","float32,float32,float32,float32,bfloat16,bfloat16,int8,float32,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,float32,bfloat16,float32,int32,int8,float32,bfloat16,bfloat16,bfloat16,bfloat16,float32,bfloat16,float32,int32,bfloat16,bfloat16,int32,int8,float32,int32,int64,int32,int32,int64,int64,int64,int64,int32,int32,float32,bfloat16,int8,float32,float32",False,False,False,
quant,attention_csa,build_output/_jit_attention_csa_test_20260810_193610/ptoas/quant.pto,models/deepseek_v4_pro/decode_attention_csa.py,3,49,"f32,i8,f32","float32,float32,float32,float32,bfloat16,bfloat16,int8,float32,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,bfloat16,float32,bfloat16,float32,int32,int8,float32,bfloat16,bfloat16,bfloat16,bfloat16,float32,bfloat16,float32,int32,bfloat16,bfloat16,int32,int8,float32,int32,int64,int32,int32,int64,int64,int64,int64,int32,int32,float32,bfloat16,int8,float32,float32",False,False,False,
